alpha,model,avg_fz0,hit_rate,kupiec_p,ind_p,cc_p,kupiec_LR,ind_LR,cc_LR,n
0.1,Transformer,-2.854085707962029,0.13666666666666666,0.00047603997863110425,0.3384355281451378,0.001413336040775759,12.207256117976613,0.9163486475533773,13.12360476552999,900
0.1,SRNN-VE-1,-2.8325428201803535,0.10777777777777778,0.44183092977274074,0.6303353967144955,0.6626128333193092,0.5915226317099496,0.23160621064880615,0.8231288423587557,900
0.1,Baseline[rw],-2.757879574783014,0.13444444444444445,0.0009991053380156156,0.28120032511659077,0.0024905505272976303,10.829223416730088,1.1612795785563321,11.99050299528642,900
0.05,SRNN-VE-1,-2.5691686747339775,0.06,0.1814388340206885,0.4523703615415525,0.3087410086219219,1.7857991464786096,0.5647058801940261,2.3505050266726357,900
0.05,Transformer,-2.5474102193768067,0.08555555555555555,8.020812043985082e-06,0.07469497535996883,9.589851877822575e-06,19.93289998538762,3.176710243949742,23.109610229337363,900
0.05,Baseline[rw],-2.4460405020894895,0.07777777777777778,0.00038681933350970255,0.4639624407015146,0.0014080290466755851,12.594810196512071,0.5363185869237554,13.131128783435827,900
0.025,Transformer,-2.2904186835849516,0.03777777777777778,0.022266371527614348,0.1619550134473774,0.02758831312927079,5.224849628815093,1.9558764377433135,7.180726066558407,900
0.025,SRNN-VE-1,-2.243682153405039,0.044444444444444446,0.0007422001891048691,0.8370762365619562,0.00330809832005019,11.380477913241009,0.04228564748075314,11.422763560721762,900
0.025,Baseline[rw],-2.176815254042779,0.043333333333333335,0.0013924002899455834,0.10022911207821117,0.0015665744499326895,10.215833808739717,2.701894036083843,12.91772784482356,900
0.01,SRNN-VE-1,-1.8352499297723275,0.02,0.007950834043592647,0.4046999541769475,0.02087055410938854,7.044515237630264,0.6943167778172494,7.738832015447514,900
0.01,Baseline[rw],-1.8073442252809868,0.02,0.007950834043592647,0.4046999541769475,0.02087055410938854,7.044515237630264,0.6943167778172494,7.738832015447514,900
0.01,Transformer,-1.7848134007179943,0.021111111111111112,0.003538211566849081,0.3780944231084443,0.009639888281524067,8.506802965530767,0.7768885534299557,9.283691518960723,900
